image,mask_pixels,skeleton_pixels,D_min_px,D_ref_px,stenosis_percent
14_002_5_0025_bmp.rf.debdb2e5cdec339506b1e5944ca03feb_mask.png,248,57,4.0,4.283,6.61
14_002_5_0031_bmp.rf.6fdc5e5ef440551c87822aa654fd49c9_mask.png,341,61,6.0,6.558,8.51
14_002_5_0046_bmp.rf.09b7eba5c2375d09bd4b9a1d36b951f6_mask.png,476,101,4.472,5.538,19.25
14_002_5_0048_bmp.rf.44733f7e6573d581ebaf90b7b3df3617_mask.png,443,81,4.472,6.582,32.05
14_002_8_0016_bmp.rf.a12652426a2ae067fef2c77acf544ed9_mask.png,321,48,4.472,6.997,36.08
14_003_1_0005_bmp.rf.a64b1c1ca617d6699067b5296fabd6f4_mask.png,281,56,4.472,5.657,20.94
14_003_1_0013_bmp.rf.a8cf4b1f876f76c8e7a99b4572412b44_mask.png,318,45,4.472,7.97,43.89
14_006_1_0061_bmp.rf.f8e212f3e8caa0a2d21056dcc00863b9_mask.png,5355,800,4.472,11.662,61.65
14_006_1_0094_bmp.rf.fc42e30ec445e7dc46f06786516546fa_mask.png,1632,295,4.472,8.342,46.39
14_006_1_0096_bmp.rf.4a48bca02097773545b306223c4d52c6_mask.png,2336,375,4.472,8.944,50.0
14_006_1_0097_bmp.rf.5c541c7d5e867a1a91cdc17bd9b3e3ca_mask.png,1550,202,4.472,11.399,60.77
14_006_1_0111_bmp.rf.06e0492b7df6583e5fc490c7cecf0419_mask.png,2606,358,4.472,10.198,56.15
14_006_1_0117_bmp.rf.1ef32581a08d9eb2cc3a681c1ca82434_mask.png,1129,194,4.472,8.0,44.1
14_006_1_0118_bmp.rf.462b8d319e219a4c1758a9892a19a4d1_mask.png,1738,273,4.472,8.898,49.74
14_006_1_0128_bmp.rf.9de941daf6eca863665de25e8f0e049d_mask.png,3066,482,4.472,8.944,50.0
14_006_1_0129_bmp.rf.cf88a28c9c951e2a78bb9daa6a98fd02_mask.png,2681,448,4.472,8.944,50.0
14_006_1_0130_bmp.rf.8b97cc63d16ee40c319f8d859f0307ee_mask.png,1876,297,4.472,8.852,49.48
14_006_1_0132_bmp.rf.52f2c58e28c9ff4f578055f60353d74d_mask.png,1213,188,4.472,8.665,48.39
14_006_1_0134_bmp.rf.3892b1129f9b0b33d400eda2f3be0e5b_mask.png,3015,448,4.472,10.0,55.28
14_006_1_0135_bmp.rf.a5c1307e879b03a686609b2e60346107_mask.png,2534,349,4.472,10.0,55.28
14_006_1_0139_bmp.rf.9a4d2cbd93658084652a42a31c2fc2e4_mask.png,1035,215,4.472,5.657,20.94
14_006_1_0146_bmp.rf.05f25e6de2cd5992f9d832a4671ca3aa_mask.png,2304,307,4.472,11.557,61.31
14_006_1_0150_bmp.rf.846a66d85686cd625b5ad162b6cf2c21_mask.png,1360,202,4.472,10.526,57.51
14_007_10_0040_bmp.rf.1b7c4ecb03a07c3b6225299b7262db49_mask.png,1827,307,4.472,7.211,37.98
14_007_10_0048_bmp.rf.aaff6acab7c1413e2b369650cabeaac1_mask.png,1312,233,4.472,7.211,37.98
14_007_10_0059_bmp.rf.500eb58afcf61d55624f39822c4268ea_mask.png,635,126,4.472,6.856,34.78
14_007_10_0081_bmp.rf.a245e570eaa4547566047545ebf08117_mask.png,1724,296,4.472,8.246,45.77
14_007_3_0047_bmp.rf.5f28a04cd3e9d5ad647f14fc649cb74e_mask.png,1761,254,4.472,8.807,49.22
14_007_3_0051_bmp.rf.94886d29fe2567a1c715061a5b266463_mask.png,745,97,4.472,10.04,55.46
14_007_3_0054_bmp.rf.2dbb57826af440d7d9e23212e5434999_mask.png,742,145,4.472,7.211,37.98
14_007_3_0058_bmp.rf.004c4933f7ead8f69531e5b53508403c_mask.png,648,116,4.472,8.475,47.23
14_007_3_0063_bmp.rf.b9fdedda6954fb1dca7f0796e24854cd_mask.png,1021,160,4.472,8.287,46.03
14_007_3_0068_bmp.rf.52807d9f7481453076d00b6d145fefa1_mask.png,433,82,4.472,6.275,28.73
14_007_3_0083_bmp.rf.935386b0ae0e2474555a092319af6185_mask.png,1406,250,4.472,7.211,37.98
14_007_3_0091_bmp.rf.0ad9d6e5eda193549c8b51c87f9c4411_mask.png,1300,209,4.472,8.691,48.54
14_007_3_0094_bmp.rf.fbb8291e81769ff4f9c5540a04a78126_mask.png,1474,298,4.472,6.325,29.29
14_007_5_0039_bmp.rf.1e9c16c81b56ae8694995ee9081d9e4e_mask.png,1997,214,4.472,12.066,62.94
14_007_5_0050_bmp.rf.8d983aaa4a584564fa58f525b0b91115_mask.png,2868,416,4.472,10.0,55.28
14_007_5_0059_bmp.rf.a846ed173eb209a2d2a7967f82672343_mask.png,1033,151,4.472,8.269,45.91
14_007_5_0063_bmp.rf.be1e65ce292e1982fb39c88c35271163_mask.png,802,120,4.472,10.0,55.28
14_007_5_0067_bmp.rf.d30299f3a2d79bbfd1718c528c8cc5a7_mask.png,881,166,4.472,6.945,35.61
14_007_5_0091_bmp.rf.b107c36fa3e6037acffb215a7829996d_mask.png,581,101,4.472,6.679,33.04
14_007_5_0106_bmp.rf.82da466b2dae67d4fc48af255ede7321_mask.png,538,99,4.472,5.657,20.94
14_007_5_0115_bmp.rf.5b3c3e1b830b05bd8115aef9ea7c1c81_mask.png,657,93,4.472,8.293,46.08
14_007_5_0117_bmp.rf.4089083d8fbc00e17ecbaaa184962cf5_mask.png,1053,176,4.472,7.034,36.42
14_007_5_0118_bmp.rf.0173a5de38d10ee3a736f29fef320a89_mask.png,1613,295,4.472,7.211,37.98
14_007_6_0034_bmp.rf.7b6fc265bf68fc5adc7ec6a0663c9b58_mask.png,1078,166,4.472,8.715,48.68
14_007_6_0063_bmp.rf.ef9f428066117a9b6ab523db198aa4ce_mask.png,1547,221,4.472,8.294,46.08
14_007_6_0076_bmp.rf.b4d5d455f05e42f54af348f7e63eeec2_mask.png,969,171,4.472,7.211,37.98
14_007_6_0080_bmp.rf.249243a19f5e934245a74980c0bd515e_mask.png,1143,173,4.472,8.098,44.78
14_007_6_0095_bmp.rf.2bca280f3a524f5aec65650aa9e00c5a_mask.png,1492,277,4.472,7.211,37.98
14_007_8_0035_bmp.rf.ba98085523875b7e3dffe0a56adb1694_mask.png,1840,248,4.472,10.461,57.25
14_007_8_0040_bmp.rf.d150356ceccd7805e50c2120793374b5_mask.png,1139,161,4.472,9.988,55.23
14_007_8_0042_bmp.rf.75b08717728263aad2ca7dadb66c8d36_mask.png,1073,148,4.472,11.112,59.75
14_007_8_0043_bmp.rf.e3136945bea8926475ae44a1759cd5f7_mask.png,1272,174,4.472,10.541,57.57
14_007_8_0048_bmp.rf.4125d3c253d029bf45666db75ad817d4_mask.png,844,119,4.472,8.0,44.1
14_007_8_0052_bmp.rf.273a9919e0b51bf28410c3022fba86d6_mask.png,1105,193,4.472,8.308,46.17
14_007_8_0056_bmp.rf.3dc2c00a757099c34ebf75612be04327_mask.png,690,136,4.472,7.034,36.42
14_007_8_0057_bmp.rf.6492ba270bf2e711400642ee49b46570_mask.png,524,100,4.472,7.921,43.54
14_007_8_0059_bmp.rf.1a3f75969db810b877357445a5aed84b_mask.png,527,82,4.472,8.408,46.81
14_007_8_0060_bmp.rf.c74239da6584ec7c7b36a4958b3bbe3a_mask.png,566,97,4.472,6.292,28.92
14_007_8_0081_bmp.rf.be47f5c07b47dd910e759a3eecc84e50_mask.png,1492,262,4.472,8.123,44.95
14_007_8_0082_bmp.rf.4eb7486a517828e569b4bd4c6369c0d5_mask.png,667,118,4.472,6.679,33.04
